model_id,layer,type_a,type_b,space,overlap,sigma_1,sigma_2,angle_1_deg,angle_2_deg,mean_angle_deg,shared_dimension_sigma_ge_0_5
Qwen/Qwen3.5-4B,0,1,2,raw,0.2834471238853733,0.7357758960723201,0.15977508732503026,42.62718097127963,80.80615826865706,61.71666961996834,1
Qwen/Qwen3.5-4B,0,1,2,label_residualized,0.32047696178373464,0.7332357628212564,0.32143310297385286,42.84165015551698,71.25038496420191,57.04601755985945,1
Qwen/Qwen3.5-4B,0,1,3,raw,0.19787957176907192,0.6256236897203876,0.06598592576293812,51.27202072491666,86.21653592815996,68.7442783265383,1
Qwen/Qwen3.5-4B,0,1,3,label_residualized,0.230170770723273,0.6781416634809097,0.021573727028277624,47.30140380709942,88.76382058865319,68.0326121978763,1
Qwen/Qwen3.5-4B,0,1,4,raw,0.17160836880232838,0.5324697721390247,0.24432085331152525,57.82752023953925,75.85829816671256,66.8429092031259,1
Qwen/Qwen3.5-4B,0,1,4,label_residualized,0.2116810664633337,0.5946749397084782,0.2640527390681363,53.51053724323163,74.68932599611483,64.09993161967323,1
Qwen/Qwen3.5-4B,0,1,5,raw,0.1824584960773733,0.6015830831926273,0.054907068499411064,53.01663803695391,86.85247383680817,69.93455593688104,1
Qwen/Qwen3.5-4B,0,1,5,label_residualized,0.14245389057187957,0.5231384120323551,0.10599048542215932,58.45699359581946,83.91576434656457,71.18637897119201,1
Qwen/Qwen3.5-4B,0,1,6,raw,0.07645527899767104,0.39020557582180715,0.025498364514494117,67.03270846791969,88.53889297249454,77.7858007202071,0
Qwen/Qwen3.5-4B,0,1,6,label_residualized,0.02004975563763503,0.1972303031766036,0.03463695691216382,78.62495876274527,88.01505152209761,83.32000514242144,0
Qwen/Qwen3.5-4B,0,1,7,raw,0.4076836472902946,0.73494643868675,0.5246151225825008,42.697309561793084,58.35766289139532,50.527486226594206,2
Qwen/Qwen3.5-4B,0,1,7,label_residualized,0.5662578580931523,0.7902176277916896,0.7127915662475106,37.79414619991941,44.537498867096375,41.16582253350789,2
Qwen/Qwen3.5-4B,0,1,8,raw,0.4955505885902134,0.9576122353333009,0.27217638384030596,16.74187189317571,74.20618449477448,45.474028193975094,1
Qwen/Qwen3.5-4B,0,1,8,label_residualized,0.486973082871273,0.955821293864064,0.24566607404884502,17.09448876796347,75.77879995927503,46.43664436361925,1
Qwen/Qwen3.5-4B,0,1,9,raw,0.34072288312413435,0.7326803913826379,0.38029621393284113,42.88842609039269,67.64796796600072,55.26819702819671,1
Qwen/Qwen3.5-4B,0,1,9,label_residualized,0.45060971121704396,0.7931136714628394,0.5217184361059356,37.52255151370164,58.55240846157062,48.03747998763613,2
Qwen/Qwen3.5-4B,0,2,3,raw,0.1956799321940372,0.6227666048651734,0.059343241003330355,51.481550709361024,86.59788392503627,69.03971731719865,1
Qwen/Qwen3.5-4B,0,2,3,label_residualized,0.21425787774741664,0.6544717382304396,0.01350923211956298,49.12039352126347,89.22595447006762,69.17317399566555,1
Qwen/Qwen3.5-4B,0,2,4,raw,0.2068631957018256,0.6405831393200633,0.05813461122690693,50.16468351531084,86.66725308877047,68.41596830204065,1
Qwen/Qwen3.5-4B,0,2,4,label_residualized,0.24826911471568458,0.7005745891957614,0.07571970948543899,45.526878430668724,85.65742378457666,65.5921511076227,1
Qwen/Qwen3.5-4B,0,2,5,raw,0.09418986290753245,0.4134841683589993,0.13194911265912942,65.57610644066469,82.41776136972646,73.99693390519558,0
Qwen/Qwen3.5-4B,0,2,5,label_residualized,0.09760491639920488,0.4183665928546202,0.14205360531020053,65.26849345385533,81.83330299239309,73.55089822312421,0
Qwen/Qwen3.5-4B,0,2,6,raw,0.21270806796358768,0.6489661560406755,0.06526150657903147,49.536300251902446,86.25813175318609,67.89721600254427,1
Qwen/Qwen3.5-4B,0,2,6,label_residualized,0.22163968194741598,0.6657224265518841,0.00964441188996272,48.26222812057482,89.4474073360552,68.85481772831501,1
Qwen/Qwen3.5-4B,0,2,7,raw,0.3974973533590108,0.8157666488998848,0.35988815104233934,35.336762930812206,68.90667284260671,52.12171788670946,1
Qwen/Qwen3.5-4B,0,2,7,label_residualized,0.39742243299012325,0.8049306490258781,0.38331647008578335,36.396441747746415,67.46073563730826,51.92858869252734,1
Qwen/Qwen3.5-4B,0,2,8,raw,0.3189597044156688,0.7980981890255796,0.030962711532225518,37.051125367468856,88.22568372681184,62.63840454714035,1
